,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
16,1,36,333814,7394428,10002,0,15.416667,2,1,6092017,1,1,1,4,1,100021,0,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002104,0,19.532274,4,2,43,1,1,2,5,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.132647,3.0,3,5.0,36.0,332182.0,7395357.0,35.0,36.0,331517.0,7395687.0,,,,,,,,,,,,,9.0,10.0,10.0,2.0,2.0,16.0,,,,14.0,0.0,,14.0,20.0,,20.0,16.0,3.0,,,,2.0,,,742.38,17
112,1,36,333067,7394620,10034,0,30.038462,34,1,23092017,1,1,1,3,1,100341,0,30.038462,1,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1,5.0,22.0,,,,0.0,2,10034101,0,38.117017,1,1,31,2,1,4,5,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,43.191617,6.0,6,10.0,36.0,334606.0,7397607.0,7.0,36.0,333360.0,7396622.0,,,,,,,,,,,,,4.0,7.0,7.0,1.0,2.0,16.0,,,,7.0,0.0,,7.0,20.0,,20.0,16.0,3.0,,,,2.0,,,1588.31,113
113,1,36,333067,7394620,10034,0,30.038462,34,1,23092017,1,1,1,3,1,100341,0,30.038462,1,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1,5.0,22.0,,,,0.0,2,10034101,0,38.117017,1,1,31,2,1,4,5,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,43.191617,6.0,6,7.0,36.0,333360.0,7396622.0,10.0,36.0,334705.0,7397515.0,,,,,,,,,,,,,7.0,4.0,4.0,2.0,1.0,16.0,,,,11.0,50.0,,12.0,10.0,,20.0,16.0,3.0,,,,2.0,,,1614.46,114
357,2,36,333788,7395873,20498,0,34.678571,498,1,7082018,1,1,1,4,1,204981,0,34.678571,1,4,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,23.0,,,,1200.0,1,20498104,0,40.193092,4,2,46,1,1,2,1,1,1200.0,,,,,,7.0,36.0,333918.0,7396300.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,5.0,45.544085,2.0,6,7.0,36.0,333918.0,7396300.0,16.0,36.0,334527.0,7394280.0,,,,,,,,,,,,,3.0,4.0,4.0,2.0,1.0,16.0,,,,18.0,0.0,,18.0,27.0,,27.0,16.0,3.0,,,,2.0,,,2109.81,358
530,3,36,333816,7394169,30705,1,129.971429,705,1,27092017,1,1,1,6,1,307051,1,129.971429,1,6,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6.0,13.0,,,,1429.39,3,30705101,1,137.758324,1,1,31,2,1,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,156.098385,3.0,4,3.0,36.0,333816.0,7394169.0,24.0,36.0,333087.0,7393278.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,1.0,16.0,,,,12.0,10.0,,12.0,30.0,,20.0,16.0,3.0,,,,2.0,,,1151.23,531
531,3,36,333816,7394169,30705,0,129.971429,705,1,27092017,1,1,1,6,1,307051,0,129.971429,1,6,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6.0,13.0,,,,1429.39,3,30705101,0,137.758324,1,1,31,2,1,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156.098385,3.0,4,24.0,36.0,333087.0,7393278.0,3.0,36.0,333816.0,7394169.0,,,,,,,,,,,,,4.0,8.0,4.0,1.0,2.0,16.0,,,,12.0,40.0,,13.0,0.0,,20.0,16.0,3.0,,,,2.0,,,1151.23,532
532,3,36,333816,7394169,30705,0,129.971429,705,1,27092017,1,1,1,6,1,307051,0,129.971429,1,6,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6.0,13.0,,,,1429.39,3,30705101,0,137.758324,1,1,31,2,1,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,156.098385,3.0,4,3.0,36.0,333816.0,7394169.0,24.0,36.0,333087.0,7393278.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,1.0,16.0,,,,17.0,0.0,,17.0,20.0,,20.0,16.0,3.0,,,,2.0,,,1151.23,533
533,3,36,333816,7394169,30705,0,129.971429,705,1,27092017,1,1,1,6,1,307051,0,129.971429,1,6,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6.0,13.0,,,,1429.39,3,30705101,0,137.758324,1,1,31,2,1,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,4.0,156.098385,3.0,4,24.0,36.0,333087.0,7393278.0,3.0,36.0,333816.0,7394169.0,,,,,,,,,,,,,4.0,8.0,4.0,1.0,2.0,16.0,,,,17.0,50.0,,18.0,10.0,,20.0,16.0,3.0,,,,2.0,,,1151.23,534
538,3,36,333816,7394169,30705,0,129.971429,705,1,27092017,1,1,1,6,1,307051,0,129.971429,1,6,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6.0,13.0,,,,1429.39,3,30705103,0,229.19281,3,3,11,1,3,2,8,2,0.0,24.0,36.0,333087.0,7393278.0,1.0,,,,,,,,,,,,,,,,,,,3.0,259.705742,3.0,4,3.0,36.0,333816.0,7394169.0,24.0,36.0,333087.0,7393278.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,2.0,16.0,,,,12.0,10.0,,12.0,30.0,,20.0,16.0,3.0,,,,2.0,,,1151.23,539
539,3,36,333816,7394169,30705,0,129.971429,705,1,27092017,1,1,1,6,1,307051,0,129.971429,1,6,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6.0,13.0,,,,1429.39,3,30705103,0,229.19281,3,3,11,1,3,2,8,2,0.0,24.0,36.0,333087.0,7393278.0,1.0,,,,,,,,,,,,,,,,,,,4.0,259.705742,3.0,4,24.0,36.0,333087.0,7393278.0,3.0,36.0,333816.0,7394169.0,,,,,,,,,,,,,4.0,8.0,4.0,2.0,2.0,16.0,,,,17.0,50.0,,18.0,10.0,,20.0,16.0,3.0,,,,2.0,,,1151.23,540
