,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
182,1,36,-23.551638044156228,-46.63011013696408,10364,0,15.416667,364,1,29062018,1,1,1,2,1,103641,0,15.416667,1,2,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5.0,17.0,,,,1774.01,3,10364101,0,19.532274,1,1,47,1,1,3,1,3,,,,,,,1.0,36.0,-23.551610032651872,-46.63019795008633,2.0,2.0,5.0,14.0,1.0,,,,,,,,,,5.0,22.132647,3.0,6,1.0,36.0,-23.551638044156228,-46.63011013696408,2.0,36.0,-23.548082923234453,-46.62984100129768,,,,,,,,,,,,,8.0,5.0,5.0,2.0,2.0,16.0,,,,18.0,15.0,,18.0,30.0,,15.0,16.0,3.0,,,,7.0,,,394.67,183
183,1,36,-23.551638044156228,-46.63011013696408,10364,0,15.416667,364,1,29062018,1,1,1,2,1,103641,0,15.416667,1,2,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5.0,17.0,,,,1774.01,3,10364101,0,19.532274,1,1,47,1,1,3,1,3,,,,,,,1.0,36.0,-23.551610032651872,-46.63019795008633,2.0,2.0,5.0,14.0,1.0,,,,,,,,,,6.0,22.132647,3.0,6,2.0,36.0,-23.548082923234453,-46.62984100129768,1.0,36.0,-23.551638044156228,-46.63011013696408,,,,,,,,,,,,,5.0,8.0,5.0,2.0,2.0,16.0,,,,20.0,0.0,,20.0,15.0,,15.0,16.0,3.0,,,,7.0,,,394.67,184
184,1,36,-23.551638044156228,-46.63011013696408,10364,0,15.416667,364,1,29062018,1,1,1,2,1,103641,0,15.416667,1,2,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5.0,17.0,,,,1774.01,3,10364102,1,19.532274,2,2,32,2,1,3,1,3,,,,,,,19.0,36.0,-23.564459250035053,-46.620785450519186,2.0,2.0,5.0,14.0,1.0,,,,,,,,,,1.0,22.132647,3.0,2,1.0,36.0,-23.551638044156228,-46.63011013696408,19.0,36.0,-23.564459250035053,-46.620785450519186,,,,,,,,,,,,,8.0,3.0,3.0,2.0,2.0,16.0,,,,7.0,0.0,,7.0,30.0,,30.0,16.0,3.0,,,,7.0,,,1709.48,185
185,1,36,-23.551638044156228,-46.63011013696408,10364,0,15.416667,364,1,29062018,1,1,1,2,1,103641,0,15.416667,1,2,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5.0,17.0,,,,1774.01,3,10364102,0,19.532274,2,2,32,2,1,3,1,3,,,,,,,19.0,36.0,-23.564459250035053,-46.620785450519186,2.0,2.0,5.0,14.0,1.0,,,,,,,,,,2.0,22.132647,3.0,2,19.0,36.0,-23.564459250035053,-46.620785450519186,1.0,36.0,-23.551638044156228,-46.63011013696408,,,,,,,,,,,,,3.0,8.0,3.0,2.0,2.0,16.0,,,,17.0,0.0,,17.0,30.0,,30.0,16.0,3.0,,,,7.0,,,1709.48,186
221,1,36,-23.552313474264224,-46.63114699116862,10682,0,30.038462,682,1,25022018,1,1,1,2,1,106821,0,30.038462,1,2,2,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1,3.0,33.0,,,,10000.0,1,10682102,1,38.117017,2,3,46,1,1,5,1,1,7000.0,,,,,,1.0,36.0,-23.548072937267555,-46.632514950943474,2.0,2.0,2.0,13.0,3.0,,,,,,,,,,1.0,43.191617,6.0,4,1.0,36.0,-23.552313474264224,-46.63114699116862,30.0,36.0,-23.542832732473617,-46.657524679675966,,,,,,,,,,,,,8.0,10.0,10.0,2.0,2.0,16.0,,,,9.0,0.0,,9.0,30.0,,30.0,16.0,3.0,,,,7.0,,,2890.57,222
222,1,36,-23.552313474264224,-46.63114699116862,10682,0,30.038462,682,1,25022018,1,1,1,2,1,106821,0,30.038462,1,2,2,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1,3.0,33.0,,,,10000.0,1,10682102,0,38.117017,2,3,46,1,1,5,1,1,7000.0,,,,,,1.0,36.0,-23.548072937267555,-46.632514950943474,2.0,2.0,2.0,13.0,3.0,,,,,,,,,,2.0,43.191617,6.0,4,30.0,36.0,-23.542832732473617,-46.657524679675966,1.0,36.0,-23.552313474264224,-46.63114699116862,,,,,,,,,,,,,10.0,8.0,10.0,2.0,2.0,16.0,,,,9.0,45.0,,10.0,0.0,,15.0,16.0,3.0,,,,7.0,,,2890.57,223
279,2,36,-23.536129028812695,-46.63221077368032,20312,0,34.678571,312,1,15062018,1,1,1,2,1,203121,0,34.678571,1,2,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,3.0,32.0,,,,6000.0,1,20312101,0,40.193092,1,1,50,2,1,5,1,1,6000.0,,,,,,129.0,36.0,-23.50157585852839,-46.62473471505105,2.0,2.0,2.0,11.0,3.0,131.0,36.0,-23.513543620579853,-46.62622313096122,2.0,2.0,2.0,11.0,3.0,3.0,45.544085,5.0,5,129.0,36.0,-23.50157585852839,-46.62473471505105,131.0,36.0,-23.513543620579853,-46.62622313096122,,,,,,,,,,,,,3.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,30.0,,12.0,45.0,,15.0,16.0,3.0,,,,7.0,,,1334.05,280
311,2,36,-23.536129028812695,-46.63221077368032,20330,1,34.678571,330,1,28082018,1,1,1,3,1,203301,1,34.678571,1,3,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4.0,27.0,1996.0,,,3044.22,3,20330101,1,13.500376,1,1,74,2,1,4,4,1,950.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,15.29771,6.0,6,2.0,36.0,-23.536129028812695,-46.63221077368032,6.0,36.0,-23.538325314652713,-46.63460812762986,,,,,,,,,,,,,8.0,10.0,10.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,7.0,,,345.08,312
312,2,36,-23.536129028812695,-46.63221077368032,20330,0,34.678571,330,1,28082018,1,1,1,3,1,203301,0,34.678571,1,3,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4.0,27.0,1996.0,,,3044.22,3,20330101,0,13.500376,1,1,74,2,1,4,4,1,950.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.29771,6.0,6,6.0,36.0,-23.538325314652713,-46.63460812762986,1.0,36.0,-23.54497610660815,-46.63418101843523,,,,,,,,,,,,,10.0,5.0,5.0,2.0,2.0,16.0,,,,12.0,11.0,,12.0,15.0,,4.0,16.0,3.0,,,,7.0,,,737.83,313
313,2,36,-23.536129028812695,-46.63221077368032,20330,0,34.678571,330,1,28082018,1,1,1,3,1,203301,0,34.678571,1,3,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4.0,27.0,1996.0,,,3044.22,3,20330101,0,13.500376,1,1,74,2,1,4,4,1,950.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,15.29771,6.0,6,1.0,36.0,-23.54497610660815,-46.63418101843523,2.0,36.0,-23.548082923234453,-46.62984100129768,,,,,,,,,,,,,5.0,5.0,5.0,2.0,2.0,16.0,,,,12.0,21.0,,12.0,32.0,,11.0,16.0,3.0,,,,7.0,,,561.01,314
